total_distance,gross_tax
10860687697.28001,7827.07
10861111807.959343,8103.42
10868203580.958609,7947.84
1096441470385.9065,7266.75
10967519095.798456,12859.07
11331966083.39255,12529.41
10901161546.377897,11371.77
10911174156.723486,8747.52
6535938096672.491,10254.4
10936638513.322754,8950.97
10014858562.688143,9713.66
5789412956.439278,10715.71
16768376806.442297,7424.51
11013284863.899624,10455.68
11023710218.622402,7987.01
11031190819.405045,8089.28
11047856499.779917,8033.79
11021128363.838625,10435.01
62886457342.2733,10259.84
11003237996.629953,11365.25
30425482473.920433,9493.89
10960160955.975159,9229.5
6535938096672.491,8191.55
10932860668.432508,8529.92
10889024215.568901,8344.96
10883095711.293001,7363.58
12883870938.806158,6306.05
10860687697.28001,6778.24
33628141409.07037,10985.54
5301301257.919181,10975.74
14826330803.677828,9063.04
15727669980.26397,8569.09
11040907911.827257,9792.0
11049568035.461971,11335.87
11074245408.936953,10470.91
11078584775.737322,8513.6
11130727746.314087,10625.41
11143809884.772184,10639.55
20691776053.132496,9735.42
11032404068.495712,9490.62
