PID,total_distance,gross_tax
0100026000,25380309293605.746,5470.46
0100028000,25380309293605.746,7730.24
0100032000,25380309293605.746,7437.57
0100034000,25524504180010.062,6190.72
0100042000,25407499921385.53,7354.88
0100046000,25380309293605.746,7083.97
0100050000,25380309293605.746,8229.63
0100059000,25380309293605.746,6675.97
0100060000,25411754156205.89,5123.39
0100062000,25383732939169.117,5465.02
0100067000,25401013060151.3,9225.15
0100070000,25383995631603.28,7586.62
0100071000,25384032220092.363,7482.17
0100072000,25384068429684.07,8838.91
0100074000,25384092053247.3,6511.68
0100099000,25380309293605.746,7512.64
0100103000,25380309293605.746,7075.26
0100110000,25380309293605.746,7698.69
0100113000,25384184119624.74,5476.99
0100115000,25425165513682.113,5583.62
0100138000,25383986661421.406,7214.53
0100163000,25384095165296.04,4256.25
0100165000,25384138624141.066,6733.63
0100193000,33282217673471.375,7913.02
0100195010,25377740192028.3,6533.44
0100209000,25380309293605.746,7221.05
0100210000,25380309293605.746,10680.89
0100211000,25380309293605.746,8618.05
0100227000,25384298893793.758,6234.24
0100246000,25383983950316.9,6956.67
0100247000,25383955351518.82,7391.87
0100288000,25380309293605.746,6769.53
0100323000,25380309293605.746,5308.35
0100333000,25384267904140.97,7369.02
0100341000,25384101985911.582,5354.05
0100345000,25383913886470.145,7360.32
0100372000,25380309293605.746,7477.82
0100377000,25380309293605.746,6410.49
0100417000,25385923758752.113,6031.87
0100420000,25385931277627.12,6270.14
0100421000,45824920883215.17,7380.99
0100422000,25386020621137.21,6877.25
0100445020,25385200411901.887,7277.63
0100457000,25418609217877.39,5216.96
0100459000,25380309293605.746,5156.03
0100501000,25385357965833.52,5881.73
PID,total_distance,gross_tax
0100511000,25385962670872.74,8212.22
0100512000,25385988046640.258,6187.45
0100513000,25386074321825.16,6846.78
0100518000,25386087754293.566,5566.21
0100539000,25389566668227.195,6353.92
0100540000,25389534330795.508,6804.35
0100541000,25389501386743.742,6247.29
0100542000,25389471950851.26,6513.85
0100543000,25389443138204.906,7265.66
0100544000,25389412526590.203,7796.61
0100545000,25380309293605.746,7338.56
0100546000,25389354306667.977,5967.68
0100553000,25394795759912.53,5852.35
0100555000,25388885827865.742,4782.85
0100558000,25388772364913.375,7545.28
0100560000,25388797296654.535,8178.49
0100567000,69881871432522.21,7722.62
0100568000,25388522724473.258,6055.81
0100573000,25388373464774.58,8029.44
0100574000,25388339632960.473,7336.38
0100575000,25388917673725.883,7693.25
0100576000,59171180938196.35,7532.22
0100579000,25388193804322.31,7680.19
0100580000,25388167598386.39,7712.83
0100581000,25388125016984.027,7317.89
0100583000,25388044365131.04,9479.74
0100586000,25370782233215.305,5393.22
0100587000,25387910500038.312,5315.97
0100589000,25387873088461.13,6825.02
0100590000,25387825597881.406,5537.92
0100591000,25387804982913.0,5498.75
0100602000,25388421057011.473,9332.86
0100606000,25388582924886.797,8410.24
0100618000,25388542848611.99,7592.06
0100621000,25388340549456.37,7390.78
0100622000,25388322808067.883,8986.88
0100623000,25388258088964.168,5481.34
0100624000,25388234237266.93,6344.13
0100629000,25387978532369.82,10240.25
0100631000,25387921608279.543,6459.45
0100632000,25387833711104.85,6914.24
0100633000,25387812830636.863,6604.16
0100634000,25387787645399.98,6802.17
0100637000,25387701325331.676,9097.85
0100642000,69881871432522.21,8467.9
0100651000,25387896400085.234,5546.62
0100653000,25383913886470.145,6025.34
0100656000,25388016699105.54,5651.07
0100657000,25388040566578.246,5431.29
0100658000,25401667757661.867,5871.94
0100659000,25383913886470.145,6053.63
0100662000,25388142437755.547,5622.78
0100667000,25380309293605.746,6907.71
0100668000,25393247781508.94,6865.28
0100670000,25388337000727.24,7197.12
0100671000,25388360990333.496,6706.43
0100672000,25388383553722.047,7290.69
0100673000,25397737069862.28,6716.22
0100674000,25388429815533.625,7398.4
0100675000,25388454724152.535,7806.4
0100676000,25388984396626.785,7073.09
0100677000,25388503967646.52,6808.7
0100689000,25387789781289.855,10420.86
0100695000,25387601042083.688,6142.85
0100696000,25418323984731.504,8199.17
0100697000,25387603101469.63,8273.15
0100700000,25380309293605.746,6079.74
0100701000,25387534808950.477,6242.94
0100704000,25387369105378.613,7943.49
0100710000,25387484544975.594,8597.38
0100721000,25387835711505.816,7569.22
0100723000,25424829224075.715,7039.36
0100725000,25387949894175.812,7128.57
0100729000,45098985822872.05,7167.74
0100732000,25387485270856.203,7817.28
0100735000,25387429633949.598,7829.25
0100736000,25387393715375.203,7583.36
0100738000,25393543987444.83,6075.39
0100740000,25391656353370.41,8358.01
0100743010,25387094691480.293,6303.87
0100755000,25396564850225.445,5962.24
0100757000,25387069806098.4,7943.49
0100769000,25386597401013.3,6124.35
0100770000,25386568446850.438,6273.41
0100771000,25395496015114.938,6151.55
0100773000,25396730318718.89,7041.54
0100774000,25383552483986.754,6167.87
0100775000,25386405699707.414,5512.89
0100776000,25386368817131.41,6261.44
0100777000,25386331938984.414,5731.58
0100778000,25391656353370.41,6506.24
0100793001,25377726288133.484,8242.69
0100805000,25386997584556.45,5878.46
0100806000,45824920883215.17,7401.66
0100809000,25386927687898.418,7726.97
0100811000,25386986716330.16,7035.01
0100812000,25387017307926.773,7006.72
0100817000,25387191974718.047,7799.87
0100819000,25387250298059.55,6308.22
0100823000,25386721432317.656,5715.26
0100824000,45824920883215.17,6547.58
0100826000,25386649369371.656,6046.02
0100827000,25386615294212.844,6102.59
